0	0-DLS	suppressed
RES_SHARE	0-ILL	suppressed
0	0-Mak	suppressed
1	1-DLS	suppressed
RES_SHARE1	1-ILL	suppressed
1	1-MZ	suppressed
1EX98	1EX98-DEL	suppressed
B059	B059-Zeit	suppressed
B102	B102-Zeit	suppressed
B127	B127-Zeit	suppressed
B170	B170-Zeit	suppressed
B206	B206-Zeit	suppressed
B405	B405-LS	suppressed
B405	B405-Mag	suppressed
B412	B412-Zeit	suppressed
RES_SHARE	OUT_RS_REQ	suppressed
RES_SHARE1	RS1-PFL	suppressed
SG	SG-Loesch	suppressed
XD	XD-Zeit	suppressed
XS	XS-Zeit	suppressed
