almaMmsId	rpbId	hbzId	zdbId
990120064570206441	RPB036t031442	HT013684632	2110241-7
990120617670206441	RPB036t031443	HT013740626	2114587-8
990114170300206441	RPB036t031471	HT013090515	2051593-5
990118971070206441	RPB036t031473	HT013573944	2099401-1
990117836030206441	RPB036t031502	HT013459353	2088550-7
990119233860206441	RPB036t031503	HT013600541	2102645-2
990118184290206441	RPB036t031524	HT013494754	2091736-3
990119235760206441	RPB036t031525	HT013600731	2102841-2
990118007690206441	RPB036t031526	HT013476811	2090651-1
990118884730206441	RPB036t031527	HT013565213	2097645-8
990121513410206441	RPB036t031543	HT013831240	2124363-3
990120794720206441	RPB036t031653	HT013758527	2116523-3
990120006110206441	RPB036t031654	HT013678727	2109330-1
990119911680206441	RPB036t031680	HT013669185	2107403-3
990121361980206441	RPB036t031709	HT013815926	2121564-9
990121361970206441	RPB036t031710	HT013815925	2121563-7
990119183710206441	RPB036t031738	HT013595472	2101777-3
990121107440206441	RPB036t031739	HT013790164	2119117-7
990121107330206441	RPB036t031740	HT013790153	2119106-2
990108709550206441	RPB036t040082	HT012718402	1480500-5
990106860230206441	RPB036t040090	HT012533470	1222190-9
990124377510206441	RPB036t040217	HT013889469	2130595-X
990107596850206441	RPB036t000339	HT012607132	1334405-5
990124662330206441	RPB036t040227	HT013918265	2133821-8
990056260990206441	RPB036t040265	HT007194557	1314616-6
990108877930206441	RPB036t040266	HT012735240	1500491-0
990108877690206441	RPB036t040267	HT012735216	1500465-X
990101714090206441	RPB036t040301	HT012018838	2000393-6
990056056330206441	RPB036t040319	HT007057048	1135426-4
990106204150206441	RPB036t040320	HT012467862	1136640-0
990056495770206441	RPB036t040321	HT008354985	1389595-3
990107457530206441	RPB036t040339	HT012593200	1314855-2
990124943660206441	RPB036t040413	HT013946749	2136928-8
990124938950206441	RPB036t040466	HT013946278	2136452-7
990124945490206441	RPB036t040467	HT013946932	2137112-X
990124946440206441	RPB036t040468	HT013947027	2137212-3
990124945200206441	RPB036t040469	HT013946903	2137083-7
990124943610206441	RPB036t040470	HT013946744	2136923-9
990124945130206441	RPB036t040471	HT013946896	2137076-X
990108037670206441	RPB036t971344	HT012651214	1394410-1
990107396870206441	RPB036t040473	HT012587134	1307119-1
990107631770206441	RPB036t980918	HT012610624	1339048-X
990124649350206441	RPB036t040475	HT013916967	2132474-8
990121876610206441	RPB036t040476	HT013867959	2128710-7
990107682660206441	RPB036t961251	HT012615713	1345515-1
990120001290206441	RPB036t040489	HT013678245	2108835-4
990120544680206441	RPB036t040491	HT013733246	2113923-4
990119468860206441	RPB036t040539	HT013624312	2104692-X
990119026860206441	RPB036t040541	HT013579591	2100044-X
990117999310206441	RPB036t040542	HT013475973	2089790-X
